Generation,Fitness
1,149
2,138
3,156
4,137
5,119
6,195
7,115
8,130
9,137
10,208
11,114
12,133
13,107
14,116
15,132
16,148
17,140
18,129
19,187
20,138
21,155
22,162
23,159
24,118
25,196
