Generation,Fitness
1,118
2,138
3,127
4,115
5,138
6,163
7,92
8,125
9,142
10,132
11,128
12,121
13,146
14,187
15,119
16,112
17,95
18,108
19,116
20,113
21,100
22,123
23,101
24,94
25,115
