Generation,Fitness
1,122
2,139
3,118
4,144
5,139
6,144
7,129
8,127
9,130
10,136
11,138
12,136
13,153
14,145
15,147
16,122
17,115
18,124
19,136
20,128
21,103
22,135
23,131
24,146
25,127
