Generation,Fitness
1,95
2,135
3,121
4,105
5,123
6,138
7,100
8,113
9,110
10,163
11,173
12,142
13,92
14,133
15,125
16,107
17,142
18,132
19,119
20,133
21,122
22,151
23,102
24,116
25,100
